student_id,student_name,date,attendance_status,day_event
ST002,Ahmed Raza,2026-01-09,Present,Normal_Day
ST003,Sara Ahmed,2026-01-09,Present,Normal_Day
ST004,Hassan Ali,2026-01-09,Present,Normal_Day
ST005,Ayesha Khan,2026-01-09,Absent,Normal_Day
ST006,Usman Malik,2026-01-09,Present,Normal_Day
ST007,Fatima Noor,2026-01-09,Present,Normal_Day
ST008,Hamza Shah,2026-01-09,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-09,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-09,Present,Normal_Day
ST001,Ali Khan,2026-01-10,Present,Normal_Day
ST002,Ahmed Raza,2026-01-10,Present,Normal_Day
ST003,Sara Ahmed,2026-01-10,Present,Normal_Day
ST004,Hassan Ali,2026-01-10,Absent,Normal_Day
ST005,Ayesha Khan,2026-01-10,Present,Normal_Day
ST006,Usman Malik,2026-01-10,Present,Normal_Day
ST007,Fatima Noor,2026-01-10,Present,Normal_Day
ST008,Hamza Shah,2026-01-10,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-10,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-10,Present,Normal_Day
ST001,Ali Khan,2026-01-11,Present,Normal_Day
ST002,Ahmed Raza,2026-01-11,Present,Normal_Day
ST003,Sara Ahmed,2026-01-11,Absent,Normal_Day
ST004,Hassan Ali,2026-01-11,Present,Normal_Day
ST005,Ayesha Khan,2026-01-11,Present,Normal_Day
ST006,Usman Malik,2026-01-11,Present,Normal_Day
ST007,Fatima Noor,2026-01-11,Present,Normal_Day
ST008,Hamza Shah,2026-01-11,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-11,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-11,Present,Normal_Day
ST001,Ali Khan,2026-01-12,Present,Normal_Day
ST002,Ahmed Raza,2026-01-12,Present,Normal_Day
ST003,Sara Ahmed,2026-01-12,Present,Normal_Day
ST004,Hassan Ali,2026-01-12,Present,Normal_Day
ST005,Ayesha Khan,2026-01-12,Present,Normal_Day
ST006,Usman Malik,2026-01-12,Absent,Normal_Day
ST007,Fatima Noor,2026-01-12,Present,Normal_Day
ST008,Hamza Shah,2026-01-12,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-12,Absent,Normal_Day
ST010,Bilal Ahmed,2026-01-12,Present,Normal_Day
ST001,Ali Khan,2026-01-13,Absent,Post_Holiday
ST002,Ahmed Raza,2026-01-13,Absent,Post_Holiday
ST003,Sara Ahmed,2026-01-13,Absent,Post_Holiday
ST004,Hassan Ali,2026-01-13,Present,Post_Holiday
ST005,Ayesha Khan,2026-01-13,Present,Post_Holiday
ST006,Usman Malik,2026-01-13,Present,Post_Holiday
ST007,Fatima Noor,2026-01-13,Present,Post_Holiday
ST008,Hamza Shah,2026-01-13,Present,Post_Holiday
ST009,Zainab Iqbal,2026-01-13,Present,Post_Holiday
ST010,Bilal Ahmed,2026-01-13,Absent,Post_Holiday
ST001,Ali Khan,2026-01-14,Present,Normal_Day
ST002,Ahmed Raza,2026-01-14,Present,Normal_Day
ST003,Sara Ahmed,2026-01-14,Present,Normal_Day
ST004,Hassan Ali,2026-01-14,Absent,Normal_Day
ST005,Ayesha Khan,2026-01-14,Present,Normal_Day
ST006,Usman Malik,2026-01-14,Present,Normal_Day
ST007,Fatima Noor,2026-01-14,Present,Normal_Day
ST008,Hamza Shah,2026-01-14,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-14,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-14,Present,Normal_Day
ST001,Ali Khan,2026-01-15,Present,Normal_Day
ST002,Ahmed Raza,2026-01-15,Present,Normal_Day
ST003,Sara Ahmed,2026-01-15,Present,Normal_Day
ST004,Hassan Ali,2026-01-15,Present,Normal_Day
ST005,Ayesha Khan,2026-01-15,Present,Normal_Day
ST006,Usman Malik,2026-01-15,Present,Normal_Day
ST007,Fatima Noor,2026-01-15,Present,Normal_Day
ST008,Hamza Shah,2026-01-15,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-15,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-15,Absent,Normal_Day
ST001,Ali Khan,2026-01-16,Present,Normal_Day
ST002,Ahmed Raza,2026-01-16,Present,Normal_Day
ST003,Sara Ahmed,2026-01-16,Present,Normal_Day
ST004,Hassan Ali,2026-01-16,Present,Normal_Day
ST005,Ayesha Khan,2026-01-16,Present,Normal_Day
ST006,Usman Malik,2026-01-16,Present,Normal_Day
ST007,Fatima Noor,2026-01-16,Present,Normal_Day
ST008,Hamza Shah,2026-01-16,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-16,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-16,Present,Normal_Day
ST001,Ali Khan,2026-01-17,Present,Post_Holiday
ST002,Ahmed Raza,2026-01-17,Present,Post_Holiday
ST003,Sara Ahmed,2026-01-17,Absent,Post_Holiday
ST004,Hassan Ali,2026-01-17,Present,Post_Holiday
ST005,Ayesha Khan,2026-01-17,Absent,Post_Holiday
ST006,Usman Malik,2026-01-17,Absent,Post_Holiday
ST007,Fatima Noor,2026-01-17,Present,Post_Holiday
ST008,Hamza Shah,2026-01-17,Present,Post_Holiday
ST009,Zainab Iqbal,2026-01-17,Present,Post_Holiday
ST010,Bilal Ahmed,2026-01-17,Present,Post_Holiday
ST001,Ali Khan,2026-01-18,Present,Normal_Day
ST002,Ahmed Raza,2026-01-18,Present,Normal_Day
ST003,Sara Ahmed,2026-01-18,Present,Normal_Day
ST004,Hassan Ali,2026-01-18,Present,Normal_Day
ST005,Ayesha Khan,2026-01-18,Present,Normal_Day
ST006,Usman Malik,2026-01-18,Absent,Normal_Day
ST007,Fatima Noor,2026-01-18,Present,Normal_Day
ST008,Hamza Shah,2026-01-18,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-18,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-18,Present,Normal_Day
ST001,Ali Khan,2026-01-19,Present,Post_PTM
ST002,Ahmed Raza,2026-01-19,Present,Post_PTM
ST003,Sara Ahmed,2026-01-19,Present,Post_PTM
ST004,Hassan Ali,2026-01-19,Present,Post_PTM
ST005,Ayesha Khan,2026-01-19,Present,Post_PTM
ST006,Usman Malik,2026-01-19,Absent,Post_PTM
ST007,Fatima Noor,2026-01-19,Present,Post_PTM
ST008,Hamza Shah,2026-01-19,Present,Post_PTM
ST009,Zainab Iqbal,2026-01-19,Present,Post_PTM
ST010,Bilal Ahmed,2026-01-19,Present,Post_PTM
ST001,Ali Khan,2026-01-20,Present,Normal_Day
ST002,Ahmed Raza,2026-01-20,Present,Normal_Day
ST003,Sara Ahmed,2026-01-20,Present,Normal_Day
ST004,Hassan Ali,2026-01-20,Present,Normal_Day
ST005,Ayesha Khan,2026-01-20,Present,Normal_Day
ST006,Usman Malik,2026-01-20,Present,Normal_Day
ST007,Fatima Noor,2026-01-20,Present,Normal_Day
ST008,Hamza Shah,2026-01-20,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-20,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-20,Present,Normal_Day
ST001,Ali Khan,2026-01-21,Present,Normal_Day
ST002,Ahmed Raza,2026-01-21,Present,Normal_Day
ST003,Sara Ahmed,2026-01-21,Absent,Normal_Day
ST004,Hassan Ali,2026-01-21,Present,Normal_Day
ST005,Ayesha Khan,2026-01-21,Present,Normal_Day
ST006,Usman Malik,2026-01-21,Present,Normal_Day
ST007,Fatima Noor,2026-01-21,Absent,Normal_Day
ST008,Hamza Shah,2026-01-21,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-21,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-21,Present,Normal_Day
ST001,Ali Khan,2026-01-22,Present,Normal_Day
ST002,Ahmed Raza,2026-01-22,Present,Normal_Day
ST003,Sara Ahmed,2026-01-22,Present,Normal_Day
ST004,Hassan Ali,2026-01-22,Present,Normal_Day
ST005,Ayesha Khan,2026-01-22,Present,Normal_Day
ST006,Usman Malik,2026-01-22,Absent,Normal_Day
ST007,Fatima Noor,2026-01-22,Present,Normal_Day
ST008,Hamza Shah,2026-01-22,Absent,Normal_Day
ST009,Zainab Iqbal,2026-01-22,Absent,Normal_Day
ST010,Bilal Ahmed,2026-01-22,Present,Normal_Day
ST001,Ali Khan,2026-01-23,Present,Normal_Day
ST002,Ahmed Raza,2026-01-23,Present,Normal_Day
ST003,Sara Ahmed,2026-01-23,Present,Normal_Day
ST004,Hassan Ali,2026-01-23,Present,Normal_Day
ST005,Ayesha Khan,2026-01-23,Present,Normal_Day
ST006,Usman Malik,2026-01-23,Absent,Normal_Day
ST007,Fatima Noor,2026-01-23,Absent,Normal_Day
ST008,Hamza Shah,2026-01-23,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-23,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-23,Present,Normal_Day
ST001,Ali Khan,2026-01-24,Present,Post_Test
ST002,Ahmed Raza,2026-01-24,Present,Post_Test
ST003,Sara Ahmed,2026-01-24,Present,Post_Test
ST004,Hassan Ali,2026-01-24,Absent,Post_Test
ST005,Ayesha Khan,2026-01-24,Present,Post_Test
ST006,Usman Malik,2026-01-24,Present,Post_Test
ST007,Fatima Noor,2026-01-24,Present,Post_Test
ST008,Hamza Shah,2026-01-24,Absent,Post_Test
ST009,Zainab Iqbal,2026-01-24,Present,Post_Test
ST010,Bilal Ahmed,2026-01-24,Present,Post_Test
ST001,Ali Khan,2026-01-25,Present,Normal_Day
ST002,Ahmed Raza,2026-01-25,Present,Normal_Day
ST003,Sara Ahmed,2026-01-25,Present,Normal_Day
ST004,Hassan Ali,2026-01-25,Present,Normal_Day
ST005,Ayesha Khan,2026-01-25,Present,Normal_Day
ST006,Usman Malik,2026-01-25,Present,Normal_Day
ST007,Fatima Noor,2026-01-25,Present,Normal_Day
ST008,Hamza Shah,2026-01-25,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-25,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-25,Present,Normal_Day
ST001,Ali Khan,2026-01-26,Present,Normal_Day
ST002,Ahmed Raza,2026-01-26,Present,Normal_Day
ST003,Sara Ahmed,2026-01-26,Present,Normal_Day
ST004,Hassan Ali,2026-01-26,Absent,Normal_Day
ST005,Ayesha Khan,2026-01-26,Present,Normal_Day
ST006,Usman Malik,2026-01-26,Present,Normal_Day
ST007,Fatima Noor,2026-01-26,Present,Normal_Day
ST008,Hamza Shah,2026-01-26,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-26,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-26,Absent,Normal_Day
ST001,Ali Khan,2026-01-27,Absent,Post_Holiday
ST002,Ahmed Raza,2026-01-27,Present,Post_Holiday
ST003,Sara Ahmed,2026-01-27,Present,Post_Holiday
ST004,Hassan Ali,2026-01-27,Present,Post_Holiday
ST005,Ayesha Khan,2026-01-27,Absent,Post_Holiday
ST006,Usman Malik,2026-01-27,Absent,Post_Holiday
ST007,Fatima Noor,2026-01-27,Present,Post_Holiday
ST008,Hamza Shah,2026-01-27,Present,Post_Holiday
ST009,Zainab Iqbal,2026-01-27,Absent,Post_Holiday
ST010,Bilal Ahmed,2026-01-27,Present,Post_Holiday
ST001,Ali Khan,2026-01-28,Present,Post_PTM
ST002,Ahmed Raza,2026-01-28,Absent,Post_PTM
ST003,Sara Ahmed,2026-01-28,Present,Post_PTM
ST004,Hassan Ali,2026-01-28,Present,Post_PTM
ST005,Ayesha Khan,2026-01-28,Present,Post_PTM
ST006,Usman Malik,2026-01-28,Present,Post_PTM
ST007,Fatima Noor,2026-01-28,Present,Post_PTM
ST008,Hamza Shah,2026-01-28,Absent,Post_PTM
ST009,Zainab Iqbal,2026-01-28,Absent,Post_PTM
ST010,Bilal Ahmed,2026-01-28,Present,Post_PTM
ST001,Ali Khan,2026-01-29,Present,Normal_Day
ST002,Ahmed Raza,2026-01-29,Present,Normal_Day
ST003,Sara Ahmed,2026-01-29,Present,Normal_Day
ST004,Hassan Ali,2026-01-29,Present,Normal_Day
ST005,Ayesha Khan,2026-01-29,Present,Normal_Day
ST006,Usman Malik,2026-01-29,Absent,Normal_Day
ST007,Fatima Noor,2026-01-29,Present,Normal_Day
ST008,Hamza Shah,2026-01-29,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-29,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-29,Present,Normal_Day
ST001,Ali Khan,2026-01-30,Present,Normal_Day
ST002,Ahmed Raza,2026-01-30,Present,Normal_Day
ST003,Sara Ahmed,2026-01-30,Present,Normal_Day
ST004,Hassan Ali,2026-01-30,Present,Normal_Day
ST005,Ayesha Khan,2026-01-30,Present,Normal_Day
ST006,Usman Malik,2026-01-30,Present,Normal_Day
ST007,Fatima Noor,2026-01-30,Absent,Normal_Day
ST008,Hamza Shah,2026-01-30,Present,Normal_Day
ST009,Zainab Iqbal,2026-01-30,Present,Normal_Day
ST010,Bilal Ahmed,2026-01-30,Present,Normal_Day
ST001,Ali Khan,2026-01-31,Present,Post_Test
ST002,Ahmed Raza,2026-01-31,Present,Post_Test
ST003,Sara Ahmed,2026-01-31,Present,Post_Test
ST004,Hassan Ali,2026-01-31,Present,Post_Test
ST005,Ayesha Khan,2026-01-31,Present,Post_Test
ST006,Usman Malik,2026-01-31,Present,Post_Test
ST007,Fatima Noor,2026-01-31,Present,Post_Test
ST008,Hamza Shah,2026-01-31,Present,Post_Test
ST009,Zainab Iqbal,2026-01-31,Present,Post_Test
ST010,Bilal Ahmed,2026-01-31,Present,Post_Test
ST001,Ali Khan,2026-02-01,Present,Post_Test
ST002,Ahmed Raza,2026-02-01,Present,Post_Test
ST003,Sara Ahmed,2026-02-01,Present,Post_Test
ST004,Hassan Ali,2026-02-01,Absent,Post_Test
ST005,Ayesha Khan,2026-02-01,Absent,Post_Test
ST006,Usman Malik,2026-02-01,Absent,Post_Test
ST007,Fatima Noor,2026-02-01,Present,Post_Test
ST008,Hamza Shah,2026-02-01,Present,Post_Test
ST009,Zainab Iqbal,2026-02-01,Absent,Post_Test
ST010,Bilal Ahmed,2026-02-01,Present,Post_Test
ST001,Ali Khan,2026-02-02,Present,Normal_Day
ST002,Ahmed Raza,2026-02-02,Present,Normal_Day
ST003,Sara Ahmed,2026-02-02,Present,Normal_Day
ST004,Hassan Ali,2026-02-02,Present,Normal_Day
ST005,Ayesha Khan,2026-02-02,Present,Normal_Day
ST006,Usman Malik,2026-02-02,Present,Normal_Day
ST007,Fatima Noor,2026-02-02,Present,Normal_Day
ST008,Hamza Shah,2026-02-02,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-02,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-02,Present,Normal_Day
ST001,Ali Khan,2026-02-03,Absent,Normal_Day
ST002,Ahmed Raza,2026-02-03,Present,Normal_Day
ST003,Sara Ahmed,2026-02-03,Present,Normal_Day
ST004,Hassan Ali,2026-02-03,Present,Normal_Day
ST005,Ayesha Khan,2026-02-03,Present,Normal_Day
ST006,Usman Malik,2026-02-03,Present,Normal_Day
ST007,Fatima Noor,2026-02-03,Present,Normal_Day
ST008,Hamza Shah,2026-02-03,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-03,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-03,Present,Normal_Day
ST001,Ali Khan,2026-02-04,Present,Normal_Day
ST002,Ahmed Raza,2026-02-04,Present,Normal_Day
ST003,Sara Ahmed,2026-02-04,Present,Normal_Day
ST004,Hassan Ali,2026-02-04,Present,Normal_Day
ST005,Ayesha Khan,2026-02-04,Absent,Normal_Day
ST006,Usman Malik,2026-02-04,Present,Normal_Day
ST007,Fatima Noor,2026-02-04,Present,Normal_Day
ST008,Hamza Shah,2026-02-04,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-04,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-04,Present,Normal_Day
ST001,Ali Khan,2026-02-05,Absent,Post_PTM
ST002,Ahmed Raza,2026-02-05,Present,Post_PTM
ST003,Sara Ahmed,2026-02-05,Present,Post_PTM
ST004,Hassan Ali,2026-02-05,Present,Post_PTM
ST005,Ayesha Khan,2026-02-05,Absent,Post_PTM
ST006,Usman Malik,2026-02-05,Present,Post_PTM
ST007,Fatima Noor,2026-02-05,Present,Post_PTM
ST008,Hamza Shah,2026-02-05,Present,Post_PTM
ST009,Zainab Iqbal,2026-02-05,Present,Post_PTM
ST010,Bilal Ahmed,2026-02-05,Present,Post_PTM
ST001,Ali Khan,2026-02-06,Present,Normal_Day
ST002,Ahmed Raza,2026-02-06,Present,Normal_Day
ST003,Sara Ahmed,2026-02-06,Present,Normal_Day
ST004,Hassan Ali,2026-02-06,Present,Normal_Day
ST005,Ayesha Khan,2026-02-06,Present,Normal_Day
ST006,Usman Malik,2026-02-06,Present,Normal_Day
ST007,Fatima Noor,2026-02-06,Present,Normal_Day
ST008,Hamza Shah,2026-02-06,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-06,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-06,Present,Normal_Day
ST001,Ali Khan,2026-02-07,Present,Post_Holiday
ST002,Ahmed Raza,2026-02-07,Absent,Post_Holiday
ST003,Sara Ahmed,2026-02-07,Present,Post_Holiday
ST004,Hassan Ali,2026-02-07,Absent,Post_Holiday
ST005,Ayesha Khan,2026-02-07,Absent,Post_Holiday
ST006,Usman Malik,2026-02-07,Present,Post_Holiday
ST007,Fatima Noor,2026-02-07,Present,Post_Holiday
ST008,Hamza Shah,2026-02-07,Present,Post_Holiday
ST009,Zainab Iqbal,2026-02-07,Absent,Post_Holiday
ST010,Bilal Ahmed,2026-02-07,Present,Post_Holiday
ST001,Ali Khan,2026-02-08,Absent,Normal_Day
ST002,Ahmed Raza,2026-02-08,Present,Normal_Day
ST003,Sara Ahmed,2026-02-08,Absent,Normal_Day
ST004,Hassan Ali,2026-02-08,Present,Normal_Day
ST005,Ayesha Khan,2026-02-08,Present,Normal_Day
ST006,Usman Malik,2026-02-08,Present,Normal_Day
ST007,Fatima Noor,2026-02-08,Present,Normal_Day
ST008,Hamza Shah,2026-02-08,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-08,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-08,Present,Normal_Day
ST001,Ali Khan,2026-02-09,Present,Normal_Day
ST002,Ahmed Raza,2026-02-09,Present,Normal_Day
ST003,Sara Ahmed,2026-02-09,Present,Normal_Day
ST004,Hassan Ali,2026-02-09,Present,Normal_Day
ST005,Ayesha Khan,2026-02-09,Present,Normal_Day
ST006,Usman Malik,2026-02-09,Present,Normal_Day
ST007,Fatima Noor,2026-02-09,Present,Normal_Day
ST008,Hamza Shah,2026-02-09,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-09,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-09,Present,Normal_Day
ST001,Ali Khan,2026-02-10,Present,Normal_Day
ST002,Ahmed Raza,2026-02-10,Present,Normal_Day
ST003,Sara Ahmed,2026-02-10,Present,Normal_Day
ST004,Hassan Ali,2026-02-10,Present,Normal_Day
ST005,Ayesha Khan,2026-02-10,Absent,Normal_Day
ST006,Usman Malik,2026-02-10,Present,Normal_Day
ST007,Fatima Noor,2026-02-10,Present,Normal_Day
ST008,Hamza Shah,2026-02-10,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-10,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-10,Present,Normal_Day
ST001,Ali Khan,2026-02-11,Present,Normal_Day
ST002,Ahmed Raza,2026-02-11,Present,Normal_Day
ST003,Sara Ahmed,2026-02-11,Present,Normal_Day
ST004,Hassan Ali,2026-02-11,Present,Normal_Day
ST005,Ayesha Khan,2026-02-11,Present,Normal_Day
ST006,Usman Malik,2026-02-11,Present,Normal_Day
ST007,Fatima Noor,2026-02-11,Absent,Normal_Day
ST008,Hamza Shah,2026-02-11,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-11,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-11,Present,Normal_Day
ST001,Ali Khan,2026-02-12,Present,Normal_Day
ST002,Ahmed Raza,2026-02-12,Present,Normal_Day
ST003,Sara Ahmed,2026-02-12,Absent,Normal_Day
ST004,Hassan Ali,2026-02-12,Present,Normal_Day
ST005,Ayesha Khan,2026-02-12,Present,Normal_Day
ST006,Usman Malik,2026-02-12,Present,Normal_Day
ST007,Fatima Noor,2026-02-12,Present,Normal_Day
ST008,Hamza Shah,2026-02-12,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-12,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-12,Present,Normal_Day
ST001,Ali Khan,2026-02-13,Present,Post_PTM
ST002,Ahmed Raza,2026-02-13,Present,Post_PTM
ST003,Sara Ahmed,2026-02-13,Present,Post_PTM
ST004,Hassan Ali,2026-02-13,Present,Post_PTM
ST005,Ayesha Khan,2026-02-13,Present,Post_PTM
ST006,Usman Malik,2026-02-13,Absent,Post_PTM
ST007,Fatima Noor,2026-02-13,Present,Post_PTM
ST008,Hamza Shah,2026-02-13,Absent,Post_PTM
ST009,Zainab Iqbal,2026-02-13,Present,Post_PTM
ST010,Bilal Ahmed,2026-02-13,Present,Post_PTM
ST001,Ali Khan,2026-02-14,Present,Normal_Day
ST002,Ahmed Raza,2026-02-14,Present,Normal_Day
ST003,Sara Ahmed,2026-02-14,Present,Normal_Day
ST004,Hassan Ali,2026-02-14,Present,Normal_Day
ST005,Ayesha Khan,2026-02-14,Present,Normal_Day
ST006,Usman Malik,2026-02-14,Present,Normal_Day
ST007,Fatima Noor,2026-02-14,Present,Normal_Day
ST008,Hamza Shah,2026-02-14,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-14,Absent,Normal_Day
ST010,Bilal Ahmed,2026-02-14,Present,Normal_Day
ST001,Ali Khan,2026-02-15,Present,Normal_Day
ST002,Ahmed Raza,2026-02-15,Present,Normal_Day
ST003,Sara Ahmed,2026-02-15,Absent,Normal_Day
ST004,Hassan Ali,2026-02-15,Present,Normal_Day
ST005,Ayesha Khan,2026-02-15,Present,Normal_Day
ST006,Usman Malik,2026-02-15,Present,Normal_Day
ST007,Fatima Noor,2026-02-15,Present,Normal_Day
ST008,Hamza Shah,2026-02-15,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-15,Present,Normal_Day
ST010,Bilal Ahmed,2026-02-15,Present,Normal_Day
ST001,Ali Khan,2026-02-16,Present,Normal_Day
ST002,Ahmed Raza,2026-02-16,Present,Normal_Day
ST003,Sara Ahmed,2026-02-16,Absent,Normal_Day
ST004,Hassan Ali,2026-02-16,Present,Normal_Day
ST005,Ayesha Khan,2026-02-16,Present,Normal_Day
ST006,Usman Malik,2026-02-16,Present,Normal_Day
ST007,Fatima Noor,2026-02-16,Present,Normal_Day
ST008,Hamza Shah,2026-02-16,Present,Normal_Day
ST009,Zainab Iqbal,2026-02-16,Present,Normal_Day
